platform,program,dataset_group,source_file,source_id,source_url,created_at,author,lang,is_reply,like_count,reply_count,retweet_count,quote_count,keyword,video_title,raw_text,clean_text,word_count,is_article_like,has_opinion_signal,is_relevant,is_in_date_range,is_duplicate_text,sentiment_label,label_reason,label_confidence,label_error
X/Twitter,Magang Berdampak,Magang_Berdampak_awal,x_dataset_magang_berdampak.csv,2068664438845231448,https://x.com/uwupobiah/status/2068664438845231448,2026-06-21 11:56:50,,in,False,0,0,0,0,,,Ini magang berdampak bneran ga ada lagi yhhh,ini magang berdampak bneran tidak ada lagi yhhh,8,False,True,True,True,False,negatif,"Komentar menanyakan tentang ketiadaan program, yang mengindikasikan kekecewaan atau kekhawatiran terhadap penghentian program.",medium,
X/Twitter,Magang Berdampak,Magang_Berdampak_awal,x_dataset_magang_berdampak.csv,2067228955971883215,https://x.com/cuewii/status/2067228955971883215,2026-06-17 12:52:45,,in,True,0,0,0,0,,,"@starvrouz Hai kak, ini yang magang berdampak/ yg dulunya msib kan yaa? Soalnya kampusku belum ada infonya huhuu. Bolehkah aku minta infonya mengenai ini ke kakak? Makasih banyak yaa🥺🙏","hai kak, ini yang magang berdampak yang dulunya msib kan yaa? soalnya kampusku belum ada infonya huhuu. bolehkah aku minta infonya mengenai ini ke kakak? makasih banyak yaa:pleading_face::folded_hands:",28,False,True,True,True,False,netral,Komentar berupa pertanyaan untuk mencari informasi mengenai program tanpa adanya opini atau emosi negatif/positif terhadap program tersebut.,high,
X/Twitter,Magang Berdampak,Magang_Berdampak_awal,x_dataset_magang_berdampak.csv,2066546028606845019,https://x.com/smthinapril/status/2066546028606845019,2026-06-15 15:39:02,,in,False,0,0,0,0,,,"Kacauuu laporan magang gue dah mau kelar, tapi isi logbook belom 😭 jirrr ngapa males bgt yak buat ngisi 🤧 

Pelajaran buat gue, besok pas kkn tiap malem wajib buka sikadu magang berdampak 🫵","kacauuu laporan magang gue dah mau kelar, tapi isi logbook belom :loudly_crying_face: jirrr ngapa males banget yak buat ngisi :sneezing_face: pelajaran buat gue, besok pas kkn tiap malem wajib buka sikadu magang berdampak :index_pointing_at_the_viewer:",34,False,True,True,True,False,negatif,pengguna mengeluhkan kesulitan dan rasa malas dalam mengisi logbook yang merupakan bagian dari sistem program.,high,
X/Twitter,Magang Berdampak,Magang_Berdampak_awal,x_dataset_magang_berdampak.csv,2066507857110143001,https://x.com/sancturnus/status/2066507857110143001,2026-06-15 13:07:21,,in,False,0,2,0,0,,,"LATE UPDATE: SELESAII ANCRITTTTT

tengs program Magang Berdampak, fisiknya magang mental gue yang kena dampak","late update: selesaii ancrittttt tengs program magang berdampak, fisiknya magang mental gue yang kena dampak",15,False,True,True,True,False,negatif,pengguna mengeluhkan dampak buruk terhadap kesehatan mental akibat program magang.,high,
X/Twitter,Magang Berdampak,Magang_Berdampak_awal,x_dataset_magang_berdampak.csv,2065027191734169630,https://x.com/draftanakunpad4/status/2065027191734169630,2026-06-11 11:03:43,,in,False,3,0,1,0,,,"pad! magang berdampak tahun ini gak dilanjutin ya?? jadi gimana sih daftar magang gue kebingungan sumpah, yang paham kasih sarannya dong","pad! magang berdampak tahun ini tidak dilanjutin ya? jadi bagaimana sih daftar magang gue kebingungan sumpah, yang paham kasih sarannya dong",21,False,True,True,True,False,negatif,pengguna menunjukkan kebingungan dan keluhan terkait ketidakjelasan informasi program yang menghambat proses pendaftaran.,high,
X/Twitter,Magang Berdampak,Magang_Berdampak_awal,x_dataset_magang_berdampak.csv,2063455367900565990,https://x.com/yunesafess/status/2063455367900565990,2026-06-07 02:57:51,,in,False,3,2,1,0,,,"-rek mau tanya msih, magenta, magang berdampak itu masih ada apa ngga ya, bingung sm kebijakan yg suka ganti gini","-rek mau tanya msih, magenta, magang berdampak itu masih ada apa tidak ya, bingung sama kebijakan yang suka ganti gini",20,False,True,True,True,False,negatif,pengguna menyatakan kebingungan dan kritik terhadap kebijakan program yang sering berubah-ubah.,high,
X/Twitter,Magang Berdampak,Magang_Berdampak_awal,x_dataset_magang_berdampak.csv,2061730644754084062,https://x.com/chocostudy_/status/2061730644754084062,2026-06-02 08:44:25,,in,True,6,1,0,0,,,"Setelah cerita kos itu, ga ada kejadian aneh. Karena 2024 gue ngekos berdua dan 2025 gue magang prigel sama magang berdampak di jakarta.

Tapi pas magang berdampak, ada kejadian lagi. Temen divisi lain pulang duluan &amp; temen gue satu-satunya sedivisi izin. https://t.co/F84ht7UqMv","setelah cerita kos itu, tidak ada kejadian aneh. karena 2024 gue ngekos berdua dan 2025 gue magang prigel sama magang berdampak di jakarta. tapi pas magang berdampak, ada kejadian lagi. temen divisi lain pulang duluan & temen gue satu-satunya sedivisi izin.",41,False,True,True,True,False,netral,Komentar hanya menceritakan pengalaman pribadi terkait kejadian mistis dan tidak memberikan opini atau penilaian terhadap kualitas program.,high,
X/Twitter,Magang Berdampak,Magang_Berdampak_awal,x_dataset_magang_berdampak.csv,2060317259768213610,https://x.com/meutiafaradilla/status/2060317259768213610,2026-05-29 11:08:08,,in,False,130,2,38,1,,,"Yalah, semua karena rezim Nadiem dengan MBKM yang sekarang dilanjutkan kementerian saat ini dengan program Magang Berdampak. 

Nggak ada pemerintah berpihak ke rakyat tuh nggak ada","yalah, semua karena rezim nadiem dengan mbkm yang sekarang dilanjutkan kementerian saat ini dengan program magang berdampak. tidak ada pemerintah berpihak ke rakyat tuh tidak ada",26,False,True,True,True,False,negatif,Komentar mengandung kritik dan ketidakpuasan terhadap kebijakan pemerintah terkait program magang.,high,
X/Twitter,Magang Berdampak,Magang_Berdampak_awal,x_dataset_magang_berdampak.csv,2059552859201692034,https://x.com/chocostudy_/status/2059552859201692034,2026-05-27 08:30:40,,in,False,20,1,1,0,,,"Sebenernya perlu di eval juga calon mentor magangnya si. Siap atau enggak, dulu pengalaman magang berdampak. Mentornya keliatan udah overload sendiri.","sebenernya perlu di eval juga calon mentor magangnya si. siap atau enggak, dulu pengalaman magang berdampak. mentornya keliatan sudah overload sendiri.",21,False,False,True,True,False,negatif,pengguna memberikan kritik terkait kualitas mentor yang overload dalam program Magang Berdampak.,high,
X/Twitter,Magang Berdampak,Magang_Berdampak_awal,x_dataset_magang_berdampak.csv,2058235632351387791,https://x.com/meutiafaradilla/status/2058235632351387791,2026-05-23 17:16:29,,in,False,624,1,128,5,,,"Mahasiswa berlomba² magang karena disuruh siapa? 

Dan tau nggak kalau program itu dilanjutkan di rezim sekarang? Mahasiswa harus magang. Magang berdampak katanya. Pusing",mahasiswa berlomba² magang karena disuruh siapa? dan tau tidak kalau program itu dilanjutkan di rezim sekarang? mahasiswa harus magang. magang berdampak katanya. pusing,23,False,True,True,True,False,negatif,pengguna menunjukkan rasa pusing dan skeptisisme terhadap kewajiban magang serta keberlanjutan program.,high,
