"id","url","text","createdAt","author.profilePicture","retweetCount","replyCount","likeCount","quoteCount","viewCount","bookmarkCount","source","lang","isReply","isRetweet","isQuote","isPinned"
"2068664438845231448","https://x.com/uwupobiah/status/2068664438845231448","Ini magang berdampak bneran ga ada lagi yhhh","Sun Jun 21 11:56:50 +0000 2026","https://pbs.twimg.com/profile_images/1386923733575561217/kqiKfI6u_normal.jpg","0","0","0","0","4","0","","in","false",,,"false"
"2067228955971883215","https://x.com/cuewii/status/2067228955971883215","@starvrouz Hai kak, ini yang magang berdampak/ yg dulunya msib kan yaa? Soalnya kampusku belum ada infonya huhuu. Bolehkah aku minta infonya mengenai ini ke kakak? Makasih banyak yaa🥺🙏","Wed Jun 17 12:52:45 +0000 2026","https://pbs.twimg.com/profile_images/1740689778440654848/g2TX-P52_normal.jpg","0","0","0","0","59","0","","in","true",,,"false"
"2066546028606845019","https://x.com/smthinapril/status/2066546028606845019","Kacauuu laporan magang gue dah mau kelar, tapi isi logbook belom 😭 jirrr ngapa males bgt yak buat ngisi 🤧 

Pelajaran buat gue, besok pas kkn tiap malem wajib buka sikadu magang berdampak 🫵","Mon Jun 15 15:39:02 +0000 2026","https://pbs.twimg.com/profile_images/1998488426648350720/mdhP5c-R_normal.jpg","0","0","0","0","72","1","","in","false",,,"false"
"2066507857110143001","https://x.com/sancturnus/status/2066507857110143001","LATE UPDATE: SELESAII ANCRITTTTT

tengs program Magang Berdampak, fisiknya magang mental gue yang kena dampak","Mon Jun 15 13:07:21 +0000 2026","https://pbs.twimg.com/profile_images/2054262145727213568/_DRP8J9u_normal.jpg","0","2","0","0","89","0","","in","false",,"true","false"
"2065027191734169630","https://x.com/draftanakunpad4/status/2065027191734169630","pad! magang berdampak tahun ini gak dilanjutin ya?? jadi gimana sih daftar magang gue kebingungan sumpah, yang paham kasih sarannya dong","Thu Jun 11 11:03:43 +0000 2026","https://pbs.twimg.com/profile_images/1977726127742611456/Vj4fhm9T_normal.jpg","1","0","3","0","1868","2","","in","false",,,"false"
"2063455367900565990","https://x.com/yunesafess/status/2063455367900565990","-rek mau tanya msih, magenta, magang berdampak itu masih ada apa ngga ya, bingung sm kebijakan yg suka ganti gini","Sun Jun 07 02:57:51 +0000 2026","https://pbs.twimg.com/profile_images/1982085720656220161/EBBtga6j_normal.jpg","1","2","3","0","2460","6","","in","false",,,"false"
"2061730644754084062","https://x.com/chocostudy_/status/2061730644754084062","Setelah cerita kos itu, ga ada kejadian aneh. Karena 2024 gue ngekos berdua dan 2025 gue magang prigel sama magang berdampak di jakarta.

Tapi pas magang berdampak, ada kejadian lagi. Temen divisi lain pulang duluan &amp; temen gue satu-satunya sedivisi izin. https://t.co/F84ht7UqMv","Tue Jun 02 08:44:25 +0000 2026","https://pbs.twimg.com/profile_images/2059258764663078912/812UOlw__normal.jpg","0","1","6","0","3844","1","","in","true",,,"false"
"2060317259768213610","https://x.com/meutiafaradilla/status/2060317259768213610","Yalah, semua karena rezim Nadiem dengan MBKM yang sekarang dilanjutkan kementerian saat ini dengan program Magang Berdampak. 

Nggak ada pemerintah berpihak ke rakyat tuh nggak ada","Fri May 29 11:08:08 +0000 2026","https://pbs.twimg.com/profile_images/1985327652153270272/UtC8T0T5_normal.jpg","38","2","130","1","2990","5","","in","false",,"true","false"
"2059552859201692034","https://x.com/chocostudy_/status/2059552859201692034","Sebenernya perlu di eval juga calon mentor magangnya si. Siap atau enggak, dulu pengalaman magang berdampak. Mentornya keliatan udah overload sendiri.","Wed May 27 08:30:40 +0000 2026","https://pbs.twimg.com/profile_images/2059258764663078912/812UOlw__normal.jpg","1","1","20","0","2835","2","","in","false",,"true","false"
"2058235632351387791","https://x.com/meutiafaradilla/status/2058235632351387791","Mahasiswa berlomba² magang karena disuruh siapa? 

Dan tau nggak kalau program itu dilanjutkan di rezim sekarang? Mahasiswa harus magang. Magang berdampak katanya. Pusing","Sat May 23 17:16:29 +0000 2026","https://pbs.twimg.com/profile_images/1985327652153270272/UtC8T0T5_normal.jpg","128","1","624","5","10963","27","","in","false",,"true","false"
"2053680425311031331","https://x.com/ug_fess/status/2053680425311031331","yuji! tahun ini magang berdampak ada lagi gak sih:(( mau cari magang yg lain tp msh berharap magang berdampak karena susah bgt nyari magang paid😔😔","Mon May 11 03:35:43 +0000 2026","https://pbs.twimg.com/profile_images/2002264082255347712/crvr9urC_normal.jpg","0","0","4","0","784","0","","in","false",,,"false"
"2051993756350705797","https://x.com/d4ilyact/status/2051993756350705797","@ug_fess magang berdampak kmrn bisa join ko, temen kelasku ada ko yg join dan di convert sks kl ga salah. beda ya sm magang mandiri","Wed May 06 11:53:30 +0000 2026","https://pbs.twimg.com/profile_images/2051683886728630273/YzBZ59mX_normal.jpg","0","0","6","0","814","1","","in","true",,,"false"
"2051981655196229887","https://x.com/ug_fess/status/2051981655196229887","yuji! gundar ada magang berdampak gasih liat"" kampus lain udah bisa pendaftaran deh","Wed May 06 11:05:25 +0000 2026","https://pbs.twimg.com/profile_images/2002264082255347712/crvr9urC_normal.jpg","0","3","25","1","3506","13","","in","false",,,"false"
"2051673577163014200","https://x.com/kompasiana/status/2051673577163014200","Belajar dan Bertumbuh bersama Masyarakat Pesisir: Cerita Mahasiswa Magang Berdampak di Desa Poto Tano https://t.co/nUX6M6bz86","Tue May 05 14:41:13 +0000 2026","https://pbs.twimg.com/profile_images/1919257133360791552/qBDNrmLC_normal.jpg","0","0","0","0","159","0","","in","false",,,"false"
"2050588748035875124","https://x.com/undipmfs3/status/2050588748035875124","-dips! Haloo Kak, Apa di sini ada yang pernah ikut atau lolos MSIB / Magang Berdampak? Kalau ada, bolehkah aku izin tanya-tanya sedikit? Terima kasih banyak sebelumnya ya, Kak🙏✨ https://t.co/NBmohqn4he","Sat May 02 14:50:30 +0000 2026","https://pbs.twimg.com/profile_images/2026913753951019008/tsQyblVd_normal.jpg","1","1","3","0","1737","2","","in","false",,,"false"
"2050157193866146123","https://x.com/zzzhz_1/status/2050157193866146123","@rgoestama Kebiasaan orang indo, kalau kena musibah yg diganti namanya bukan mengkritisi main factor-nya. Ga jauh beda sama pemerintah yg gonta ganti nama, bikin ribet birokrasi aja. Misal, magang merdeka jadi magang berdampak lah, dll","Fri May 01 10:15:39 +0000 2026","https://pbs.twimg.com/profile_images/2045167147358605312/bYOh1eTW_normal.jpg","3","0","63","0","5894","1","","in","true",,,"false"
"2045397122393227714","https://x.com/Y2Karyl/status/2045397122393227714","Jangan masuk STM, masuk SMA jurusan IPA di sekolah elit biar nggak terlibat tawuran dan lulusnya bisa masang 196'21 (STEI-K ITB angkatan 2021) di bio twitter

Habis itu ikut organisasi, magang berdampak, kepanitiaan dan membangun personal branding biar gampang cari kerja di big 4","Sat Apr 18 07:00:50 +0000 2026","https://pbs.twimg.com/profile_images/2068314452160876544/QC0jracn_normal.jpg","1","0","2","0","471","0","","in","false",,"true","false"
